Area,RMSE,MAE,R2
Al Barsha,74822.65,74822.65,
Al Barsha First,253386.59,186826.76,0.47
Al Barsha South Fifth,185739.39,109956.81,0.78
Al Barsha South Fourth,255230.56,149477.82,0.79
Al Barshaa South Second,192086.42,122221.61,0.71
Al Barshaa South Third,152322.81,90648.8,0.7
Al Eyas,705128.0,705128.0,
Al Goze Fourth,425278.25,227915.1,0.61
Al Hebiah Fifth,364707.8,176308.94,0.41
Al Hebiah First,583372.82,318262.73,0.79
Al Hebiah Fourth,259063.33,171290.58,0.73
Al Hebiah Second,153758.5,98341.95,0.8
Al Hebiah Sixth,194279.8,134810.42,0.89
Al Hebiah Third,243949.5,142002.53,0.74
Al Jadaf,1102477.49,430173.67,0.78
Al Khairan First,353469.52,190107.39,0.89
Al Kheeran,831739.61,604754.41,0.65
Al Kifaf,461065.3,271136.31,0.83
Al Merkadh,179127.82,79659.66,0.95
Al Qusais Industrial Fourth,219586.01,128438.44,0.9
Al Safouh First,763609.18,375081.18,0.26
Al Safouh Second,2784122.59,950374.95,0.94
Al Thanayah Fourth,836425.24,652851.86,0.13
Al Thanyah Fifth,594846.02,256732.17,0.66
Al Thanyah First,1217588.37,440482.32,0.08
Al Thanyah Third,895672.83,373092.68,0.77
Al Warsan First,118088.77,78685.89,0.6
Al Wasl,1022947.03,420548.06,0.92
Al Yelayiss 1,380228.57,280225.35,0.17
Al Yelayiss 2,325636.74,166048.73,0.54
Al Yufrah 1,181043.21,113449.74,0.47
Al Yufrah 2,59687.41,34832.58,0.9
Bukadra,161543.19,100458.1,0.97
Burj Khalifa,1961616.51,700501.91,0.64
Business Bay,851844.26,339888.01,0.98
Dubai Investment Park First,653022.78,407528.45,0.7
Dubai Investment Park Second,160187.7,106339.94,0.77
Hadaeq Sheikh Mohammed Bin Rashid,475417.31,252958.2,0.74
Hessyan First,644084.2,286309.88,0.86
Hessyan Second,1505824.72,413989.53,0.52
Island 2,7753396.06,4449819.31,0.77
Jabal Ali,100229.14,69963.63,0.96
Jabal Ali First,255951.29,131601.89,0.75
Jabal Ali Industrial Second,264038.2,154243.17,0.54
Jabal Ali Industrial Third,341095.24,181943.03,0.89
Jumeirah First,1404693.4,568869.87,0.78
Jumeirah Second,9535989.17,7031139.12,0.4
Madinat Al Mataar,143345.11,81449.01,0.93
Madinat Dubai Almelaheyah,1073589.42,361066.86,0.91
Marsa Dubai,2110218.34,500908.4,0.36
Me'Aisem First,253468.24,143220.03,0.83
Mirdif,437435.99,291015.53,0.76
Muhaisanah First,262067.48,120313.06,0.64
Nad Al Shiba,407150.37,231979.01,0.54
Nad Al Shiba First,477120.27,351605.69,0.86
Nadd Hessa,399441.79,154501.81,0.14
Palm Deira,487997.79,411122.37,0.57
Palm Jabal Ali,936521.64,817129.27,0.94
Palm Jumeirah,2569151.96,886473.72,0.75
Port Saeed,639186.68,500522.96,0.16
Rega Al Buteen,666206.76,517964.5,0.56
Saih Shuaib 1,376000.0,376000.0,
Saih Shuaib 2,691192.93,303678.96,0.37
Trade Center First,2303421.67,787792.93,0.48
Trade Center Second,1254055.1,801362.31,0.5
Um Hurair Second,395187.12,291934.5,0.91
Um Suqaim Third,3829496.55,559838.94,0.78
Wadi Al Safa 2,153483.23,93803.87,0.81
Wadi Al Safa 3,729127.58,348975.55,0.81
Wadi Al Safa 4,318942.47,172680.79,0.86
Wadi Al Safa 5,195904.12,113190.72,0.91
Wadi Al Safa 6,1098328.09,621163.79,0.06
Wadi Al Safa 7,2470462.22,454478.09,0.14
Warsan Fourth,116054.25,70857.4,0.55
World Islands,380774.16,215963.61,0.88
Zaabeel First,581221.96,344742.81,0.96
Zaabeel Second,364148.86,178932.86,0.89
